Date,Wordle,Word,Regina's Score,My Score
2022-03-12,266,cater,4,null
2022-05-27,342,manor,4,6
2022-05-28,343,creak,3,5
2022-06-14,360,cacao,4,5
2022-06-15,361,loser,3,4
2022-07-05,381,voice,3,4
2022-08-05,412,alien,3,4
2022-08-09,416,cling,3,4
2022-08-26,433,irony,3,4
2022-08-30,437,onset,3,5
2022-11-05,504,dream,4,5
2022-11-07,506,begin,3,5
2022-11-10,509,unite,3,4
2022-11-13,512,inane,4,5
2022-11-15,514,snarl,3,4
2022-12-01,530,eject,4,5
2022-12-06,535,amber,4,5
2022-12-08,537,infer,4,5
2022-12-21,550,lunar,3,4
2022-12-23,552,aorta,3,4
2022-12-28,557,impel,4,5
2022-12-31,560,manly,4,5
2023-01-06,566,belie,4,5
2023-01-12,572,leapt,3,4
2023-01-20,580,alter,4,5
2023-01-24,584,count,3,4
2023-02-12,603,giant,3,4
2023-02-24,615,arbor,3,5
2023-03-04,623,trend,3,4